H-1	High	7	Liquidation fee will not be claimed due to incorrect decimal handling	Liquidation fee will not be claimed due to incorrect decimal handling -- ### Summary Incorrect decimal handling in liquidation logic will prevent liquidation fee recipient from receiving liquidation fees. ### Root Cause In Yieldoor protocol, liquidation fee is claimed in the following case: > Position's current USD value is greater than borrowed token's current USD value However, borrowed token's current usd Value is inflated in [`Leverager.sol:318`](https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Leverager.sol#L318) ```solidity uint256 borrowedValue = owedAmount * bPrice / ERC20(up.denomination).decimals(); ``` Instead of dividing by `10 ^ decimals`, it divides by `decimals`. Thus, `borrowedValue` is greatly inflated. And the following if branch will never get reached: ```solidity @> if (totalValueUSD > borrowedValue) { // What % of the amountsOut are profit is calculated by `(totalValueUSD - borrowedUSD) / totalValueUSD` // Then, on top of that, we calculate the protocol fee and scale it in 1e18. uint256 protocolFeePct = 1e18 * liquidationFee * (totalValueUSD - borrowedValue) / (totalValueUSD * 10_000); uint256 pf0 = protocolFeePct * amount0 / 1e18; uint256 pf1 = protocolFeePct * amount1 / 1e18; if (pf0 > 0) IERC20(up.token0).safeTransfer(feeRecipient, pf0); if (pf1 > 0) IERC20(up.token1).safeTransfer(feeRecipient, pf1); amount0 -= pf0; amount1 -= pf1; } ``` ### Internal Pre-conditions 1. Liquidator liquidates a position 2. Position's total value in USD is greater than borrowed value in USD ### External Pre-conditions N
H-2	High	1	Strategy main ticks are set according to the tick in slot0, leading to incorrect allocation and loss of funds	Strategy main ticks are set according to the tick in slot0, leading to incorrect allocation and loss of funds -- ### Summary Main position ticks are set according to the tick in slot0, which is not accurate if the price is near a border. The most obvious case is when the tick just crosses a left boundary, in which the tick is [set](https://github.com/Uniswap/v3-core/blob/main/contracts/UniswapV3Pool.sol#L725) to the current price tick - 1. In this case, the actual price of the pool is in the current tick in slot0 + 1, but the code will use the tick in slot0. Thus, to be more precise, the sqrtPrice should be used and converted to a tick, which always represents the final swap price of the pool. ### Root Cause In `Strategy:207`, the tick in slot0 is used to set the main position ticks. ### Internal Pre-conditions None. ### External Pre-conditions Pool is at the boundary. ### Attack Path 1. Uniswap swap causes the tick to be exactly at the boundary. ### Impact Loss of fees as the position will not accumulate as many fees. ### PoC Forked the base chain at block 26874136 with the addresses below and add 1e18 liquidity of each token in the constructor. The swap will place the price exactly at the boundary, which means a second swap of just 1 wei is enough to push the pool to the next tick. The price is currently tick -1769, but tick -1770 is used as reference, so liquidity is allocated to ticks -1772 to -1768. A 1 wei swap moves the tick to -1769, so only 1 tick spacing has to be crossed to the right to reach the upper -1768 boundary, whereas 3 tick spacing must be crossed to the left. Thus,
H-3	High	1	Integer overflow in observation index calculation leads to denial of service	Integer overflow in observation index calculation leads to denial of service -- ## Summary When `observationCardinality` and `currentIndex` are large enough, the index calculation in `Strategy#checkPoolActivity` will revert due to integer overflow, causing a denial of service for critical protocol functions. ## Relevant Context `checkPoolActivity` is called by: - `Strategy#_requirePriceWithinRange` - `Strategy#rebalance` - `Strategy#compound` - `Strategy#addVestingPosition` - `Leverager#openLeveragedPosition` These functions are essential for protocol operation. ## Root Cause In `Strategy#checkPoolActivity`, the observation index calculation: https://github.com/sherlock-audit/2025-02-yieldoor/blob/b5a0f779dce4236b02665606adb610099451a51a/yieldoor/src/Strategy.sol#L320 ```solidity uint256 index = (observationCardinality + currentIndex - i) % observationCardinality; ``` will revert when `observationCardinality + currentIndex >= 2**16` due to integer overflow in the addition operation, as both variables are uint16. ## Attack Path 1. An attacker increases `observationCardinalityNext` to 60000 via `UniswapV3Pool#increaseObservationCardinalityNext` (See the Appendix for calculation of gas cost) 2. `currentIndex` increases so that `observationCardinality + currentIndex >= 2**16`. 3. The `checkPoolActivity` function will revert until `currentIndex` wraps around to 0. ## Impact Explanation High. The integer overflow causes all critical functions that rely on `checkPoolActivity` to revert, making the contract completely unusable. This includes: 1. `rebalance()` -
H-4	High	3	Base calculation in `Leverager::isLiquidateable()` is incorrect as the max leverage may be smaller	Base calculation in `Leverager::isLiquidateable()` is incorrect as the max leverage may be smaller -- ### Summary Base calculation in `Leverager::isLiquidateable()` is: `uint256 base = owedAmount * 1e18 / (vp.maxTimesLeverage - 1e18);`. However, the max leverage may not actually be `vp.maxTimesLeverage`, but [be](https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Leverager.sol#L467) `maxLevTimes` from the lending pool. In this case, the base amount would be incorrectly underestimated, leading to users not being liquidated when they should for the protocol's loss (loss of profit and higher bad debt risk). ### Root Cause In `Leverager:408`, the max leverage from the lending pool is not taken into account. ### Internal Pre-conditions `maxLevTimes` from the lending pool < `vp.maxTimesLeverage`. ### External Pre-conditions None. ### Attack Path 1. User has a position that should be liquidated but isn't due to the rhs of the is liquidatable check. ### Impact Protocols takes losses and risks bad debt creation. ### PoC If `maxLevTimes` < `vp.maxTimesLeverage`, it means the base calculation would have in the divisor a bigger number than it should, so base will be smaller. As base is smaller, the collateral of the user can decrease more without the user being liquidated. ### Mitigation Compare the 2 max leverage values and use the smallest, which is the actual maximum leverage allowed in the `Leverager`.
H-5	High	24	Contradiction between high-leverage and liquidation check of position	Contradiction between high-leverage and liquidation check of position -- ### Summary Market can allow leverage higher than 2x, and this is design choice. But the check `owedAmount > totalDenom` in `isLiquidateable` function doesn't allow leverage higher than 2x. ### Root Cause [`positionLeverage`](https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Leverager.sol#L464-L467) is calculated and checked in `_checkWithinlimits` function when open leverage. ```solidity function _checkWithinlimits(Position memory up) internal { ... @> uint256 positionLeverage = (up.initCollateralValue + up.borrowedAmount) * 1e18 / up.initCollateralValue; require(positionLeverage <= vp.maxTimesLeverage && positionLeverage <= maxLevTimes, "too high x leverage"); ... } ``` Opening leverage also checks whether the position is `liquidateable`. [`isLiquidateable`](https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Leverager.sol#L411) checks if `owedAmount > totalDenom` and returns `true` (indicating liquidation). ```solidity function isLiquidateable(uint256 _id) public view returns (bool liquidateable) { ... uint256 totalValueUSD = _calculateTokenValues(pos.token0, pos.token1, userBal0, userBal1, price); uint256 bPrice = IPriceFeed(pricefeed).getPrice(pos.denomination); uint256 totalDenom = totalValueUSD * (10 ** ERC20(pos.denomination).decimals()) / bPrice; uint256 bIndex = ILendingPool(lendingPool).getCurrentBorrowingIndex(pos.denomination); uint256 owedAmount = pos.borrowedAmount * bIndex / pos.borrowedIndex; /// here we make a ca
H-6	High	19	Incorrect tick parameter in collectFees() function leads to loss of vesting position fees or possible complete protocol lockup	Incorrect tick parameter in collectFees() function leads to loss of vesting position fees or possible complete protocol lockup -- ## Description: In the `collectFees()` function of the `Strategy` contract, there is a critical error when collecting fees from the vesting position. The function incorrectly uses the upper tick of the main position (`mainPosition.tickUpper`) instead of the upper tick of the vesting position (`vestPosition.tickUpper`): https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Strategy.sol#L167 ```solidity if (ongoingVestingPosition) { collectPositionFees(vestPosition.tickLower, mainPosition.tickUpper); } ``` Although the vesting position is created with the same ticks as the main position... https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Strategy.sol#L433 ```solidity vp.tickLower = mainPosition.tickLower; vp.tickUpper = mainPosition.tickUpper; ``` ...`rebalance()` function changes the ticks of the main position using the internal `_setMainTicks()` function, so after calling `rebalance()`, the ticks of the main position and the vesting position will no longer be the same https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Strategy.sol#L209 ```solidity function rebalance() public onlyRebalancer { // ... _setMainTicks(tick); // ... } ``` https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Strategy.sol#L232 ```solidity function _setMainTicks(int24 tick) internal { int24 halfWidth = int24(positionWidth / 2); int24 modulo = tick % tickSpacing; if (modulo < 0) modulo += tickSpacing; // if tick is
H-7	High	16	Uninitialized feeRecipient in Leverager.sol	Uninitialized feeRecipient in Leverager.sol -- ### Summary In the Leverager contract, the feeRecipient variable is not initialized and there is no setter function to set it. This is problematic because the liquidatePosition send funds to the feeRecipient. https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Leverager.sol#L47 https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Leverager.sol#L299 ### Root Cause The feeRecipient is not initialized in the constructor, and there is no function to set it after the contract has been deployed. ### Internal Pre-conditions None ### External Pre-conditions None ### Attack Path None ### Impact Funds to the feeRecipient when the liquidatePosition is called will be sent to address 0, there is a loss of protocol fees. ### PoC None ### Mitigation Initialize feeRecipient in the constructor and create a function to change the feeRecipient in the future.
M-1	Medium	2	`Vault::_calcDeposit()` will overflow for low priced tokens	`Vault::_calcDeposit()` will overflow for low priced tokens -- ### Summary `Vault::_calcDeposit()` calculates the `shares` as `depositAmount * bal * totalSupply` in the numerator. If each of these quantities has 18 decimals, this is `1e54` of precision, having only around `1e23` left. Now, if `bal` and `totalSupply` are for example 1e9 each, this leaves `1e5` left. Thus, any deposit exceeding `100_000` will revert. If the token is valued for example 0.01 USD, this is very likely to happen. As deposits failling will make users miss out on yield and favorable entry prices in the pool, it is time sensitive. ### Root Cause In `Vault:149`, there is an [overflow risk](https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Vault.sol#L149). ### Internal Pre-conditions 1. Token is low valued such as 0.1 or 0.01 USD. ### External Pre-conditions None. ### Attack Path 1. User deposits in the vault but reverts, missing out on yield and a certain entry price in the pool. ### Impact User loses yield and may get worse slippage / price afterwards. Additionally, until someone withdraws it may be hard to deposit. They may split their deposits in smaller ones but this has other implications. Given enough balance and supply of a low valued token it may not be possible to deposit at all. ### PoC See above. ### Mitigation Implement some precision downscaling in between calculations.
M-2	Medium	1	`ReserveLogic::_updateIndexes()` assumes the utilization rate was constant the whole time when calculating the new borrows	`ReserveLogic::_updateIndexes()` assumes the utilization rate was constant the whole time when calculating the new borrows -- ### Summary `ReserveLogic::_updateIndexes()` is as [follows](https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/libraries/ReserveLogic.sol#L155-L156): ```solidity function _updateIndexes(DataTypes.ReserveData storage reserve) internal { uint256 newBorrowingIndex = reserve.borrowingIndex; uint256 newTotalBorrows = reserve.totalBorrows; if (reserve.totalBorrows > 0) { newBorrowingIndex = latestBorrowingIndex(reserve); newTotalBorrows = newBorrowingIndex * (reserve.totalBorrows) / (reserve.borrowingIndex); ... } ``` Note that when calculating the `newBorrowingIndex`, it calls `latestBorrowingIndex(reserve)`, which uses `reserve.currentBorrowingRate`, which was calculated at the last time the index was updated. However, in the mean time, the borrows have grown, increasing the utilization rate, which has increased the borrowing rate, but the one used was the past one, which is incorrect. To fix this, a better closed formula would be required, simultaneously calculating the new borrows as well as the current utilization rate, which depend on one another. ### Root Cause In `ReserveLogic:155/156`, new borrows use a stale utilization rate. ### Internal Pre-conditions None. ### External Pre-conditions None. ### Attack Path 1. Users borrow from the lending pool and their interest will be incorrect, smaller than it should be. ### Impact Depending on utilization, the impact can be very significant, however, it is likely to stay relatively constrained due to daily ut
M-3	Medium	4	Strategy main ticks are not symmetric when the tick spacing is one due to incorrect isLowerSided inequality	Strategy main ticks are not symmetric when the tick spacing is one due to incorrect isLowerSided inequality -- ### Summary Strategy main position ticks are set according to: ```solidity function _setMainTicks(int24 tick) internal { int24 halfWidth = int24(positionWidth / 2); int24 modulo = tick % tickSpacing; if (modulo < 0) modulo += tickSpacing; // if tick is negative, modulo is also negative bool isLowerSided = modulo < (tickSpacing / 2); int24 tickBorder = tick - modulo; if (!isLowerSided) tickBorder += tickSpacing; mainPosition.tickLower = tickBorder - halfWidth; mainPosition.tickUpper = tickBorder + halfWidth; emit NewMainTicks(tickBorder - halfWidth, tickBorder + halfWidth); } ``` As can be seen, when the tick spacing is 1, the tick will be deemed lower sided, which adds a tick spacing (1) to the tick border. So, if the current tick is -1769, the ticks will be -1770 to -1766, which is not symmetric and will miss out on fees. ### Root Cause In `Strategy:236`, is lower sided [check](https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Strategy.sol#L236) is incorrect. ### Internal Pre-conditions None. ### External Pre-conditions None. ### Attack Path 1. Protocol rebalances but main ticks are not symmetric and will miss out on fees when the price moves to the side that has less liquidity allocated. ### Impact Loss of fees. ### PoC ```solidity // in setup IUniswapV3Pool pool = IUniswapV3Pool(0x20E068D76f9E90b90604500B84c7e19dCB923e7e); IERC20 wbtc = IERC20(0x4200000000000000000000000000000000000006); // token0 IERC20 usdc = IERC20(0xc1CBa3fCea344f92D9239c08C0568
M-4	Medium	1	`Strategy::checkPoolActivity()` incorrect check leads to vulnerable price	`Strategy::checkPoolActivity()` incorrect check leads to vulnerable price -- ### Summary `Strategy::checkPoolActivity()` [reverts](https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Strategy.sol#L322-L324) if the timestamp is 0. However, this will never happen. What actually happens is the timestamp being 1, when the cardinality has been increased and the tick timestamp was [set](https://github.com/Uniswap/v3-core/blob/main/contracts/libraries/Oracle.sol#L118) to 1 for gas saving purposes. When this tick is hit in the loop, it means there were not enough observations to reach the `lookAgo` timestamp and it should revert because the price could not be validated. However, if the timestamp is 1, it may not revert depending on the value of the tick delta calculated, and as the timestamp is 1, it will [return true](https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Strategy.sol#L335-L337) with an invalid price observation. ### Root Cause In `Strategy:322`, the [timestamp check](https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Strategy.sol#L322-L324) is incorrect. ### Internal Pre-conditions None. ### External Pre-conditions None. ### Attack Path 1. Twap would not have enough credibility and rebalancing would be impossible. 2. Attacker or user adds cardinality to the uniswap pool, which sets the next ticks timestamp to 1. 3. Rebalance goes through with an invalid price with not enough validation, leading to depositing liquidity at a bad price and causing losses for users. ### Impact Loss
M-5	Medium	1	`Strategy::checkPoolActivity()` does not look as far back as it should	`Strategy::checkPoolActivity()` does not look as far back as it should -- ### Summary `Strategy::checkPoolActivity()` is supposed to check tick delta until the tick more in the past than `lookAgo`. From the security doc: > `checkPoolActivity` does intentionally check 1 extra observation before `lookAgo` "1 extra observation" and "before" indicate that it is intended that **1 more observation** in the past is looked at, with a timestamp **before** `lookAgo`. However, the opposite actually happens, due to the way observations are being calculated. ### Root Cause In `Strategy:335`, it will [return](https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Strategy.sol#L335-L337) 1 observation too early. ### Internal Pre-conditions None. ### External Pre-conditions None. ### Attack Path 1. Protocol rebalances but the twap price validation is incomplete and may lead to losses when depositing in the pool at a bad price. ### Impact Loss of funds that will be arbitraged. ### PoC The way the observations work is: 1. The current tick of the pool is taken. 2. The tick cumulative of the most recent observation is taken. 3. The tick cumulative of the second most recent observation is taken. 4. These cumulative ticks are subtracted and divided by the delta timestamp, leading to the tick at the **most recent observation**. 5. The current tick of the pool is compared with the tick of the most recent observation in the first iteration. In the second, it's the most recent tick with the second most recent, so on and so forth. However, when checking `l
M-6	Medium	15	Incorrect modulo calculation in secondary position ticks leads to active position and division by zero	Incorrect modulo calculation in secondary position ticks leads to active position and division by zero -- ## Summary The `Strategy#_setSecondaryPositionsTicks` function incorrectly handles negative ticks when calculating modulo, causing the secondary position to be active when it should be out-of-range and potentially leading to division by zero in `LiquidityAmounts#getLiquidityForAmounts`. ## Relevant Context The strategy maintains two Uniswap V3 positions: 1. A main position that should be balanced (50:50) 2. A secondary position that should always be out-of-range and filled with only one token The secondary position's ticks are set based on the current tick and token balances to ensure it remains out-of-range. The main position's ticks are calculated with proper handling of negative modulos, but this correction is missing in the secondary position calculation. [`_setMainTicks`](https://github.com/sherlock-audit/2025-02-yieldoor/blob/b5a0f779dce4236b02665606adb610099451a51a/yieldoor/src/Strategy.sol#L232) ```solidity /// @notice Calculates and sets the ticks of the main position /// @dev Checks if the nearest initializable tick is lower or higher than the current tick function _setMainTicks(int24 tick) internal { int24 halfWidth = int24(positionWidth / 2); int24 modulo = tick % tickSpacing; if (modulo < 0) modulo += tickSpacing; // if tick is negative, modulo is also negative bool isLowerSided = modulo < (tickSpacing / 2); int24 tickBorder = tick - modulo; if (!isLowerSided) tickBorder += tickSpacing; mainPosition.tickLower = tickBorder - halfWidth; mainPosition.tickUpper = tic
M-7	Medium	1	`Vault::withdraw()` withdraws too much liquidity leading to idle capital and loss of fees	`Vault::withdraw()` withdraws too much liquidity leading to idle capital and loss of fees -- ### Summary `Vault::withdraw()` [withdraws](https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Vault.sol#L96-L99) from the lp position whenever the idle capital is not enough. However, it withdraws too much as it does not take into account that some of the idle capital is already available. ### Root Cause In `Vault:98`, it withdraws too many shares. ### Internal Pre-conditions None. ### External Pre-conditions None. ### Attack Path 1. User withdraws 1000 shares, worth 1000 tokens. There already are 500 tokens idle, but the code will still withdraw all 1000 tokens, keeping 500 tokens idle. ### Impact Loss of fees as the liquidity stays idle. ### PoC ```solidity function withdraw(uint256 shares, uint256 minAmount0, uint256 minAmount1) public returns (uint256 withdrawAmount0, uint256 withdrawAmount1) { IStrategy(strategy).collectFees(); (uint256 totalBalance0, uint256 totalBalance1) = IStrategy(strategy).balances(); uint256 totalSupply = totalSupply(); _burn(msg.sender, shares); withdrawAmount0 = totalBalance0 * shares / totalSupply; withdrawAmount1 = totalBalance1 * shares / totalSupply; (uint256 idle0, uint256 idle1) = IStrategy(strategy).idleBalances(); if (idle0 < withdrawAmount0 || idle1 < withdrawAmount1) { // When withdrawing partial, there might be a few wei difference. (withdrawAmount0, withdrawAmount1) = IStrategy(strategy).withdrawPartial(shares, totalSupply); } ``` ### Mitigation Reduce the shares to withdraw from the strategy by the liquidity
M-8	Medium	1	Insufficient Decimal	Insufficient Decimal -- ### Summary The decimal precision of the collateral is insufficient for calculating the interest, especially for wbtc. ### Root Cause In `ReserveLogic::_updateIndexes::L156`, the totalBorrows may not update or may experience precision loss. https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/libraries/ReserveLogic.sol#L156 ```solidity 156: newTotalBorrows = newBorrowingIndex * (reserve.totalBorrows) / (reserve.borrowingIndex); ``` To change the `totalBorrows`, the unaccounted interest must be equal to or greater than 1 wei. To avoid precision loss, the interest must exceed 10,000 wei. If the collateral is wbtc, this value is not small. And the `_updateIndexes` function could be executed every block(period = 15s), and the unaccounted interest may be less than the above value. ### Internal pre-conditions N/A ### External pre-conditions N/A ### Attack Path An attacker can repeatedly deposit 1001 wei of wbtc and redeem the maximum amount of wbtc (type(uint256).max). Alternatively, users can interact with the `LendingPool` frequently ### PoC Let's consider the following scenario. LendingPool's asset = wbtc, BorrowingRateConfig: (0%, 0%) -> (80%, 20%) -> (90%, 50%) -> (100%, 150%) totalLiquidityAndBorrows = 0.25 wbtc, totalBorrows = 0.126144 wbtc currentUtilizationRate = 50.4576%, https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/libraries/InterestRateUtils.sol#L28 currentBorrowingRate = 50.4576% * 20% / 80% = 12.6144% https://github.co
M-9	Medium	49	Locked funds due to underflow in withdrawal	Locked funds due to underflow in withdrawal -- ### Summary In the withdraw function of the Leverager contract, when the borrowed asset is token1, the code uses the wrong variable in its conditional subtraction. Instead of using the available amount of token1 (amountOut1), it mistakenly uses amountOut0 (the token0 balance) to determine how much to subtract from the owed amount. This error causes an arithmetic underflow if amountOut1 (the correct balance) is less than the owed amount, because the ternary operator selects amountOut0 even though it might be much larger. In Solidity 0.8.x, arithmetic underflow reverts the transaction, blocking the withdrawal. ### Root Cause The bug is a simple copy‑paste error. In the branch where `borrowed == up.token1`, the code should reference `amountOut1` in the ternary operator. Instead, it mistakenly uses `amountOut0`, leading to an underflow when `token1’s balance is insufficient.` ### Internal Pre-conditions None. ### External Pre-conditions None. ### Attack Path https://github.com/sherlock-audit/2025-02-yieldoor/blob/main/yieldoor/src/Leverager.sol#L209 In the withdraw function, after obtaining withdrawal amounts from the vault: ```solidity uint256 bIndex = ILendingPool(lendingPool).getCurrentBorrowingIndex(borrowed); uint256 totalOwedAmount = up.borrowedAmount * bIndex / up.borrowedIndex; uint256 owedAmount = totalOwedAmount * wp.pctWithdraw / 1e18; // ... if (borrowed == up.token0) { uint256 repayFromWithdraw = amountOut0 < owedAmount ? amountOut0 : owedAmount; owedAmount -= repayF
M-10	Medium	13	`Leverager::deposit`, does not support multi-hop swaps with `exactOutput`	`Leverager::deposit`, does not support multi-hop swaps with `exactOutput` -- ### Summary When depositing into the leverager, if the borrowed token is not `token0` or `token1`, the function has to perform an `exactOutput` swap, to receive the borrowed `token0`/`token1`. ```solidity function openLeveragedPosition(LeverageParams calldata lp) external nonReentrant returns (uint256 _id) { ... { // we first borrow the maximum amount the user is willing to borrow. Any unused within the swaps is later repaid. ILendingPool(lendingPool).borrow(lp.denomination, lp.maxBorrowAmount); IMainnetRouter.ExactOutputParams memory swapParams; if (a0 > lp.amount0In && up.token0 != lp.denomination) { swapParams = abi.decode(lp.swapParams1, (IMainnetRouter.ExactOutputParams)); address tokenIn = _getTokenIn(swapParams.path); require(tokenIn == lp.denomination, "token should be denomination"); IERC20(tokenIn).forceApprove(swapRouter, swapParams.amountInMaximum); swapParams.amountOut = a0 - lp.amount0In; IMainnetRouter(swapRouter).exactOutput(swapParams); IERC20(tokenIn).forceApprove(swapRouter, 0); } if (a1 > lp.amount1In && up.token1 != lp.denomination) { swapParams = abi.decode(lp.swapParams2, (IMainnetRouter.ExactOutputParams)); address tokenIn = _getTokenIn(swapParams.path); require(tokenIn == lp.denomination, "token should be denomination 2 "); IERC20(tokenIn).forceApprove(swapRouter, swapParams.amountInMaximum); swapParams.amountOut = a1 - lp.amount1In; IMainnetRouter(swapRouter).exactOutput(swapParams); IERC20(tokenIn).forceApprove(swapRouter, 0); } } if (delta0 > 0) IL
