H-1	High	4	Cross-contract reentrancy allows YIELD_TOKEN theft for the `GenericERC4626` `WithdrawalRequestManager` variant	Cross-contract reentrancy allows YIELD_TOKEN theft for the `GenericERC4626` `WithdrawalRequestManager` variant -- - https://github.com/notional-finance/leveraged-vaults/blob/7e0abc3e118db0abb20c7521c6f53f1762fdf562/contracts/trading/adapters/UniV3Adapter.sol#L60-L72 ^ The only validations in-place are the tokenIn and tokenOut sanitizations, but not the whole multihop path though. <img width="815" height="481" alt="Image" src="https://sherlock-files.ams3.digitaloceanspaces.com/gh-images/b8f9b6b7-8401-4160-aa5a-c678f49bb7f7" /> _NOTE_ This is the Trading module we have: https://etherscan.io/address/0x179a2d2408bfbc21b72d59c4a74e5010f07dc823#code ![Image](https://sherlock-files.ams3.digitaloceanspaces.com/gh-images/b2d7e6ee-c3ab-44b9-bb85-1986f4418d07) https://etherscan.io/address/0xE592427A0AEce92De3Edee1F18E0157C05861564#code <-- UniswapV3 router ## Description Since the `WithdrawalRequestManager` allows `onlyVault` operations for multiple different strategy "vaults",.. A combination of a default reentrancy + cross-contract reentrancy is possible... ...Through which `YIELD_TOKEN`s can be drained from the `WithdrawalRequestManager`... ...---> to the yield strategy where the strategy's `depositAsset != WithdrawalRequestManager.STAKE_TOKEN`. This way, the strategy will record a higher surplus (aka delta) of `YIELD_TOKEN`s in the current `YIELD_TOKEN.balanceOf(address(this))` and will mint more shares to the malicious user's account. `onlyApprovedVault` permits any caller whitelisted in the `isApprovedVault` mapping: ```solidity /// @dev Ensures that only approved vaults can initiate withdraw
H-2	High	1	Attacker can drain the entire suppliers on Morpho market by inflating collateral price	Attacker can drain the entire suppliers on Morpho market by inflating collateral price -- ### Summary When `initiateWithdraw()` is called, the user’s collateral in Morpho (i.e., their shares) is **not burned**, but the underlying LP tokens are used to initiate a withdrawal request. At the same time, the **`effectiveSupply()` is decreased** due to the shares being escrowed. This means the user can **donate yield tokens to the strategy** and artificially **inflate the collateral price on Morpho**, while their original deposit remains safely **secured in the withdrawal process** untouched and retrievable. ### Root Cause [https://github.com/sherlock-audit/2025-06-notional-exponent/blob/82c87105f6b32bb362d7523356f235b5b07509f9/notional-v4/src/AbstractYieldStrategy.sol#L280-L307](https://github.com/sherlock-audit/2025-06-notional-exponent/blob/82c87105f6b32bb362d7523356f235b5b07509f9/notional-v4/src/AbstractYieldStrategy.sol#L280-L307) We can see that when `initiateWithdraw()` is called, the user's assets are registered as a withdrawal request in the `WithdrawRequestManager`, and `s_escrowedShares` is increased. Since the shares are not burned, `totalSupply()` remains the same before and after the `initiateWithdraw` call. However, because `escrowedShares` increases, the `effectiveSupply()` becomes smaller: [https://github.com/sherlock-audit/2025-06-notional-exponent/blob/82c87105f6b32bb362d7523356f235b5b07509f9/notional-v4/src/AbstractYieldStrategy.sol#L149-L151](https://github.com/sherlock-audit/2025-06-notional-exponent/blob/82c87105f6b32bb362d7523356f235b5b07509f9/no
H-3	High	10	`DineroWithdrawRequestManager` vulnerable to token overwithdrawal via batch ID overlap	`DineroWithdrawRequestManager` vulnerable to token overwithdrawal via batch ID overlap -- ### Summary Some users may profit while others incur losses because the `DineroWithdrawRequestManager` contract does not track the balance of each `upxETH` token per withdrawal request, even though a single `upxETH` token may be associated with multiple requests. ### Root Cause When a user initiates a withdrawal request through `DineroWithdrawRequestManager`, the contract executes the `_initiateWithdrawImpl()` function. This function captures `PirexETH.batchId()` before and after calling `PirexETH::initiateRedemption()`: [DineroWithdrawRequestManager::_initiateWithdrawImpl()](https://github.com/sherlock-audit/2025-06-notional-exponent/blob/82c87105f6b32bb362d7523356f235b5b07509f9/notional-v4/src/withdraws/Dinero.sol#L17) function: ```solidity function _initiateWithdrawImpl( address /* account */, uint256 amountToWithdraw, bytes calldata /* data */ ) override internal returns (uint256 requestId) { ... => uint256 initialBatchId = PirexETH.batchId(); pxETH.approve(address(PirexETH), amountToWithdraw); PirexETH.initiateRedemption(amountToWithdraw, address(this), false); => uint256 finalBatchId = PirexETH.batchId(); uint256 nonce = ++s_batchNonce; => return nonce << 240 | initialBatchId << 120 | finalBatchId; } ``` When the user later finalizes the withdrawal via `_finalizeWithdrawImpl()`, the contract attempts to redeem all `upxETH` tokens within the range `[initialBatchId, finalBatchId]`: ```solidity function _finalizeWithdrawImpl( address /* account */, uint256 requestId ) inte
H-4	High	2	When users borrow directly from Morpho price of the collateral will not be accurate	When users borrow directly from Morpho price of the collateral will not be accurate -- ### Summary When users have a withdrawal request, the Morpho price oracle will price the request based on the requested value instead of the share amount. However, if users choose to borrow directly from Morpho bypassing the lending router the shares will be priced based on their raw share value, not the request value. ### Root Cause As seen in the following lines: * [`AbstractYieldStrategy.sol#L118-L120`](https://github.com/sherlock-audit/2025-06-notional-exponent/blob/82c87105f6b32bb362d7523356f235b5b07509f9/notional-v4/src/AbstractYieldStrategy.sol#L118-L120) * [`AbstractSingleSidedLP.sol#L300-L303`](https://github.com/sherlock-audit/2025-06-notional-exponent/blob/82c87105f6b32bb362d7523356f235b5b07509f9/notional-v4/src/single-sided-lp/AbstractSingleSidedLP.sol#L300-L303) If the transient `t_currentAccount` variable is set and the user has a withdrawal request, then the price will be based on the withdrawal request value. However, if the user is borrowing **directly** not via the lending router the `t_currentAccount` is never set. This causes the call to fall back to `super.convertToAssets(shares)`, which prices based on yield token holdings instead. This introduces a discrepancy: a user with an active withdrawal request is not holding yield tokens, but their shares will still be priced as if they are—potentially leading to mispricing or incorrect collateral valuation. ### Internal Pre-conditions 1. Request a withdrawal and borrow from MORPHO directly not via lending route
H-5	High	5	`migrateRewardPool` Fails Due to Incompatible Storage Design in `CurveConvexLib`	`migrateRewardPool` Fails Due to Incompatible Storage Design in `CurveConvexLib` -- This issue has been acknowledged by the team but won't be fixed at this time. ### Summary The [`migrateRewardPool`](https://github.com/sherlock-audit/2025-06-notional-exponent/blob/main/notional-v4/src/rewards/AbstractRewardManager.sol#L44-L65) function in the `AbstractRewardManager` contract is designed to migrate rewards from an old Convex reward pool to a new one by updating internal storage, withdrawing from old reward pool and depositing into the new reward pool. This mechanism relies on writing to local storage slots (e.g., `_getRewardPoolSlot()`), via delegatecall from a yield strategy contract. In practice, this fails because when `CurveConvex2Token` is deployed, it deploys `CurveConvexLib`, where reward pool address is immutable. The `CurveConvex2Token` stores the address of `CurveConvexLib` into another immutable variable. Since the reward pool address is immutable in `CurveConvexLib`, whenever Lp token is minted, the `CurveConvex2Token` deposit them to the same reward pool even if reward pool is changed in reward manager. There is no migration possible in `CurveConvex2Token`. This breaks the core migration functionality, despite the function being exposed and annotated for use when the reward pool changes. This violates the IRewardManager interface contract [NATSPEC](https://github.com/sherlock-audit/2025-06-notional-exponent/blob/main/notional-v4/src/interfaces/IRewardManager.sol#L82-L86), which states that `migrateRewardPool` should be used both initially and whe
H-6	High	7	DoS might happen to `DineroWithdrawRequestManager#_initiateWithdrawImpl()` due to overflow on `++s_batchNonce`	DoS might happen to `DineroWithdrawRequestManager#_initiateWithdrawImpl()` due to overflow on `++s_batchNonce` -- ### Summary When `DineroWithdrawRequestManager#initiateWithdraw()` is called to initiate WETH withdrawal, [`DineroWithdrawRequestManager#_initiateWithdrawImpl()`](https://github.com/sherlock-audit/2025-06-notional-exponent/blob/main/notional-v4/src/withdraws/Dinero.sol#L17-L39) will be executed to initiate a redemption from `PirexETH`: ```solidity function _initiateWithdrawImpl( address /* account */, uint256 amountToWithdraw, bytes calldata /* data */ ) override internal returns (uint256 requestId) { if (YIELD_TOKEN == address(apxETH)) { // First redeem the apxETH to pxETH before we initiate the redemption amountToWithdraw = apxETH.redeem(amountToWithdraw, address(this), address(this)); } uint256 initialBatchId = PirexETH.batchId(); pxETH.approve(address(PirexETH), amountToWithdraw); // TODO: what do we put for should trigger validator exit? PirexETH.initiateRedemption(amountToWithdraw, address(this), false); uint256 finalBatchId = PirexETH.batchId(); @> uint256 nonce = ++s_batchNonce; // May require multiple batches to complete the redemption require(initialBatchId < MAX_BATCH_ID); require(finalBatchId < MAX_BATCH_ID); // Initial and final batch ids may overlap between requests so the nonce is used to ensure uniqueness return nonce << 240 | initialBatchId << 120 | finalBatchId; } ``` The returned `requestId` is composed by three variables: `nonce`, `initialBatchId`, and `finalBatchId`. `nonce` is calculated as below: ```solidity uint256 nonce = ++s_batchNonce; ``` However,
H-7	High	5	`RewardManagerMixin.claimAccountRewards` lacks of necessary param check.	`RewardManagerMixin.claimAccountRewards` lacks of necessary param check. -- ### Summary In current implementation, `RewardManagerMixin.claimAccountRewards` function doesn't check `account` paramm, if the `MORPHO` is passed in as `account`, rewards will be transferred to `MORPHO`. Which isn't correct. ### Root Cause 1. As [RewardManagerMixin.claimAccountRewards](https://github.com/sherlock-audit/2025-06-notional-exponent/blob/82c87105f6b32bb362d7523356f235b5b07509f9/notional-v4/src/rewards/RewardManagerMixin.sol#L155-L177) shows, the function can be called by anyone, and the `account` param can be any address. 2. If the `msg.sender` isn't a lending router, the `sharesHeld` will be calculated by `balanceOf(account)` in [RewardManagerMixin.sol#L160-L164](https://github.com/sherlock-audit/2025-06-notional-exponent/blob/82c87105f6b32bb362d7523356f235b5b07509f9/notional-v4/src/rewards/RewardManagerMixin.sol#L160-L164) ```solidity 155 function claimAccountRewards( 156 address account, 157 uint256 sharesHeld 158 ) external nonReentrant returns (uint256[] memory rewards) { 159 uint256 effectiveSupplyBefore = effectiveSupply(); 160 if (!ADDRESS_REGISTRY.isLendingRouter(msg.sender)) { 161 // If the caller is not a lending router we get the shares held in a 162 // native token account. 163 sharesHeld = balanceOf(account); 164 } ... 177 } ``` 3. While a normal user calls `AbstractLendingRouter.enterPosition` to enter a vault, the vault will mint vaultToken in [AbstractLendingRouter.sol#L241](https://github.com/sherlock-audit/2025-06-notional-exponent/blob/82c8710
H-8	High	2	Incorrect assumption that one (1) Pendle Standard Yield (SY) token is equal to one (1) Yield Token when computing the price in the oracle	Incorrect assumption that one (1) Pendle Standard Yield (SY) token is equal to one (1) Yield Token when computing the price in the oracle -- This issue has been acknowledged by the team but won't be fixed at this time. ### Summary - ### Root Cause - Incorrect assumption that one (1) Pendle Standard Yield (SY) token is equal to one (1) Yield Token when computing the price in the oracle ### Internal Pre-conditions - ### External Pre-conditions - ### Attack Path When deploying the Pendle yield strategy, the deployer can choose to set the `useSyOracleRate_` to true or false. If `useSyOracleRate_` is set to true, the `PENDLE_ORACLE.getPtToSyRate()` function will be used to get the PT rate. An example of such a setup is shown in the test script provided with the codebase, where the `useSyOracleRate_` setting is set to true in Line 115 below. https://github.com/sherlock-audit/2025-06-notional-exponent/blob/main/notional-v4/tests/TestPTStrategyImpl.sol#L111 ```solidity File: TestPTStrategyImpl.sol 079: function deployYieldStrategy() internal override { 080: strategyName = "Pendle PT"; 081: address(deployCode("PendlePTLib.sol:PendlePTLib")); 082: 083: setMarketVariables(); 084: bool isSUSDe = tokenOut == address(sUSDe); 085: ..SNIP.. 106: } 107: 108: w = ERC20(y.yieldToken()); 109: // NOTE: is tokenOut the right token to use here? 110: (AggregatorV2V3Interface baseToUSDOracle, ) = TRADING_MODULE.priceOracles(address(tokenOut)); 111: PendlePTOracle pendleOracle = new PendlePTOracle( 112: market, 113: baseToUSDOracle, 114: false, 115: true, // @audit-info useSyOracleRate_ 116: 15 minutes, 117: "Pendle PT", 118: address(0) 11
H-9	High	2	Hardcoded `useEth = true` in `remove_liquidity_one_coin` or `remove_liquidity` lead to stuck fund	Hardcoded `useEth = true` in `remove_liquidity_one_coin` or `remove_liquidity` lead to stuck fund -- ### Summary - ### Root Cause - ### Internal Pre-conditions - ### External Pre-conditions - ### Attack Path Assume the Curve V2 pool with two-token setup. The following are some of the Curve pools that fit into this example. https://www.curve.finance/dex/ethereum/pools/teth/deposit/ (t/ETH) - LP Token - https://etherscan.io/address/0x752ebeb79963cf0732e9c0fec72a49fd1defaeac - Coin 0 - 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (WETH) - Coin 1 - 0xCdF7028ceAB81fA0C6971208e83fa7872994beE5 (T) https://www.curve.finance/dex/ethereum/pools/cvxeth/deposit/ (cvxeth) - LP Token - https://etherscan.io/address/0xb576491f1e6e5e62f1d8f26062ee822b40b0e0d4 - Coin 0 - 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (WETH) - Coin 1 - 0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B (CVX) Curve Pool's Coin 0 is WETH, and thus `ETH_INDEX` is set to 0 during deployment. I have checked the source code and confirmed that `ETH_INDEX` is 0. Readers can access the LP token's etherscan link above to view the source code and see that the `ETH_INDEX` is set to 0. Note that the Yield Strategy vault's `TOKEN_1` is equal to Curve Pool's Coin 0 and is set to WETH. Assume that the Yield Strategy (YS) vault's asset is WETH, and we will enter the pool on a single-sided basis, with all deposited assets being in WETH. The `msgValue` at Line 237 will be zero as `TOKEN_1` is in WETH and not Native ETH (0x0). Thus, the condition `0 < msgValue` will be evaluated to `false`. As a result, no native ETH will be forwarded to the C
H-10	High	2	Malicious user can change the `TradeType` to steal funds from the vault or withdraw request manager	Malicious user can change the `TradeType` to steal funds from the vault or withdraw request manager -- ### Summary - ### Root Cause - ### Internal Pre-conditions - ### External Pre-conditions - ### Attack Path **Instance 1 - Yield Strategy Vault** Assume the following: - The asset token of a yield strategy vault is WBTC - The yield token of the vault is the LP token of a Curve Pool (DAI/WBTC) - 1 WBTC is worth 100,000 DAI - WBTC's decimals is 8. DAI's decimals is 18. When redeeming the LP token, the vault received back 10,000 DAI and 1 WBTC. The intention of the `_executeRedemptionTrades` function is to swap all non-asset token (DAI in this example) to asset token (WBTC), as per the comment at Line 235 below. Thus, the `t.tradeType` must always be set to `TradeType.EXACT_IN_SINGLE` so that exact amount of 10,000 DAI (10000e18) will be swapped for arbitrary amount of WBTC (asset token). In this case, it should receive 0.1 WBTC after swapping in 10,000 DAI. > [!NOTE] > > The `t.minPurchaseAmount` should also be set to the maximum value possible, so that maximum allowance will be granted to the external DEX protocol to pull tokens from Notional. Refer to [here](https://github.com/sherlock-audit/2023-02-notional/blob/b33adfbe2d47ab602b4d626bb73ebd78bf7d5622/leveraged-vaults/contracts/trading/TradingUtils.sol#L118). In EXACT_OUT trades, approval will be given based on `trade.limit` value. > [!NOTE] > > This attack will work for any trading adapters, as demonstrated in the scenario below. However, if one needs maximum flexibility and control in crafting the exploit, such as the abil
